candidate_type,cik,org,breach_date,crsp_permno,comnam_at_breach,candidate,confidence,reason,shared_tokens,generic_only
gate_exclusion,1283699,"T-Mobile USA, Inc.",2009-09-03,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1283699,"T-Mobile USA, Inc.",2009-10-05,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1283699,T-Mobile,2009-10-08,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1283699,T-Mobile USA Inc.,2011-10-21,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1283699,T-Mobile,2012-05-08,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1283699,T-Mobile,2012-08-28,91937.0,METROPCS COMMUNICATIONS INC,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1308161,Fox Entertainment Group,2009-04-09,90441.0,NEWS CORP,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
gate_exclusion,1308161,Fox Entertainment Group Inc.,2009-04-15,90441.0,NEWS CORP,,,CRSP name at breach_date does not match the breached organization; parent relationship unverified,,
b_successor_cik,14745,"Brown, Lisle/Cummings, Inc.",2018-04-15,,,"BROWN FORMAN CORP (gvkey 2435, cik 14693)",unverified,no gvkey in Compustat for this CIK,BROWN,False
b_successor_cik,58696,Lennar Corporation,2023-07-20,,,"LENNAR CORP (gvkey 6669, cik 920760)",unverified,no gvkey in Compustat for this CIK,LENNAR,False
a_subsidiary,72945,Northrop Grumman Systems Corporation,2016-04-18,,,Northrop Grumman Corporation,,no gvkey in Compustat for this CIK,,False
a_subsidiary,108772,Xerox Corporation,2023-12-10,,,Xerox Holdings Corporation,,no gvkey in Compustat for this CIK,,False
a_subsidiary,353394,"Leidos, Inc.",2022-09-30,,,"Leidos Holdings, Inc.",,no gvkey in Compustat for this CIK,,False
