window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
30,4904,American Electric Power,0,2,0.0025,0.0003,0
30,8670,"Automatic Data Processing, Inc.",0,1,0.0028,0.0001,0
30,12927,The Boeing Company,0,1,0.0027,0.0002,0
30,14693,Brown-Forman Corporation,0,1,0.0033,0.0,0
30,18926,CenturyLink,1,5,0.0052,0.0036,0
30,20520,Frontier Communications,1,4,0.0058,0.0061,0
30,27904,"Delta Air Lines, Inc.",0,2,0.0025,0.0003,0
30,27996,Deluxe Corporation,0,1,0.0032,0.0,0
30,33185,"Equifax, Inc.",0,4,0.0032,0.0,0
30,40704,"General Mills, Inc.",0,1,0.0029,0.0,0
30,43196,"Gray Television, Inc.",0,3,0.0031,0.0,0
30,47111,The Hershey Company,0,1,0.0031,0.0,0
30,47217,Hewlett-Packard Company,0,5,0.0017,0.0017,0
30,51143,IBM,0,2,0.0024,0.0005,0
30,51434,International Paper Company,0,1,0.0031,0.0,0
30,62709,"Marsh & McLennan Companies, Inc.",0,1,0.003,0.0,0
30,68505,"Motorola, Inc.",0,2,0.0028,0.0001,0
30,73309,Nucor Corporation,0,1,0.003,0.0,0
30,73756,"Oceaneering International, Inc.",0,1,0.0031,0.0,0
30,75362,PACCAR,0,1,0.0029,0.0,0
30,76334,Parker-Hannifin Corporation,0,1,0.0031,0.0,0
30,77476,"PepsiCo, Inc.",0,1,0.0027,0.0001,0
30,78003,Pfizer Inc,0,1,0.0029,0.0,0
30,91419,The J.M. Smucker Company,0,1,0.0031,0.0,0
30,91440,Snap-on Incorporated,0,1,0.0031,0.0,0
30,92380,Southwest Airlines Co.,0,2,0.0028,0.0001,0
30,96021,Sysco Corporation,0,1,0.0028,0.0001,0
30,101830,Sprint Nextel,1,12,-0.0035,0.0374,1
30,277135,"W.W. Grainger, Inc.",0,2,0.003,0.0,0
30,315293,Aon Corporation,0,3,0.0025,0.0004,0
30,318154,Amgen Inc.,0,2,0.0024,0.0005,0
30,319687,United Airlines,0,1,0.0027,0.0002,0
30,320193,Apple Inc.,0,7,0.0081,0.0217,0
30,354190,Gallagher NAC,0,2,0.0028,0.0001,0
30,354950,The Home Depot,0,1,0.0029,0.0001,0
30,708818,"NextGen Healthcare, Inc.",0,1,0.0034,0.0001,0
30,718877,"Activision Publishing, Inc.",0,2,0.003,0.0,0
30,723254,Cintas Corporation,0,1,0.0031,0.0,0
30,728535,"J.B. Hunt Transport, Inc.",0,2,0.0031,0.0,0
30,731766,Change Healthcare Inc.,0,1,0.0028,0.0001,0
30,732712,Verizon,1,11,0.0052,0.0036,0
30,732717,AT&T,1,26,0.0098,0.0389,0
30,764180,"Altria Group, Inc.",0,1,0.0028,0.0001,0
30,771497,ABM Industries Incorporated,0,1,0.0031,0.0,0
30,773840,Honeywell International Inc.,0,3,0.0025,0.0003,0
30,789019,Microsoft Corporation,0,5,0.0015,0.0021,0
30,789570,MGM Resorts International,0,2,0.0026,0.0002,0
30,790070,EMC Corporation,0,1,0.0029,0.0,0
30,796343,Adobe Systems Incorporated,0,3,0.003,0.0,0
30,798354,"Fiserv, Inc.",0,3,0.0025,0.0004,0
30,815097,Carnival Corporation,0,2,0.003,0.0,0
30,823768,"USA Waste-Management Resources, LLC",0,1,0.0031,0.0,0
30,831259,Freeport-McMoRan Inc.,0,1,0.0029,0.0,0
30,858877,"Cisco Systems, Inc.",0,2,0.0027,0.0002,0
30,860731,"Tyler Technologies, Inc.",0,1,0.0033,0.0,0
30,872589,"Regeneron Pharmaceuticals, Inc.",0,1,0.0033,0.0,0
30,877890,Citrix Systems Inc.,0,3,0.003,0.0,0
30,892553,"Chart Industries, Inc.",0,1,0.0034,0.0,0
30,896878,"Intuit, Inc.",0,78,0.0008,0.0048,0
30,908937,Sirius XM Radio Inc.,0,15,-0.0023,0.0255,1
30,920522,"Essex Property Trust, Inc.",0,1,0.0031,0.0,0
30,920760,Lennar Corporation,0,1,0.003,0.0,0
30,943452,Wabtec Corporation,0,1,0.003,0.0,0
30,1000228,"Henry Schein, Inc.",0,1,0.0031,0.0,0
30,1001082,"DISH Network, LLC",1,2,0.0041,0.0008,0
30,1001250,The Est̩e Lauder Companies Inc.,0,3,0.0025,0.0003,0
30,1002517,"Nuance Communications, Inc.",0,1,0.0031,0.0,0
30,1041061,"Yum! Brands, Inc.",0,1,0.0025,0.0003,0
30,1048911,"FedEx Ground Package System, Inc.",0,1,0.003,0.0,0
30,1051470,Crown Castle,0,2,0.0027,0.0002,0
30,1058290,Cognizant Technology Solutions Corporation,0,1,0.0031,0.0,0
30,1060391,Republic Services,0,5,0.0023,0.0006,0
30,1067837,Entercom Communications Corp.,0,1,0.0031,0.0,0
30,1091667,"Charter Communications, Inc.",1,8,0.0069,0.0126,0
30,1105705,Time Warner Inc.,0,8,0.0009,0.0043,0
30,1108524,Salesforce.com,0,1,-0.0004,0.0107,1
30,1113169,"T. Rowe Price Retirement Plan Services, Inc.",0,2,0.0034,0.0001,0
30,1123360,"Global Payments, Inc.",0,2,0.0004,0.0063,0
30,1124610,"VMware, Inc.",0,2,0.0029,0.0,0
30,1133421,Northrop Grumman Systems Corporation,0,1,0.0029,0.0001,0
30,1136893,"Fidelity National Information Services, Inc.",0,12,0.0188,0.2132,0
30,1137789,Seagate US LLC,0,3,0.0067,0.011,0
30,1140859,"Cencora, Inc.",0,3,0.0026,0.0002,0
30,1166691,Comcast,1,12,0.0049,0.0028,0
30,1180262,"Herbalife International of America, Inc.",0,1,0.0028,0.0001,0
30,1283699,"T-Mobile USA, Inc.",1,26,-0.018,0.3845,1
